번호 | 상태 | 과제명 (국문) | 과제명 (영문) | 세부과제 / 역할 | 지원기관 | 소관 부처 | 시작일 | 종료일 | 기간(개월)
1 | 진행중 | 4단계 BK21 탄소중립 첨단소재 교육연구단 | Education & research center for ad |  | 한국연구재단 | 과학기술정보통신부 | 2025.03.01 | 2027.08.31 | 30
2 | 진행중 | 저에너지/고효율/무방류 달성과 물/자원 통합 관리를 위한 고회 | Practical implementation and AI-ba |  | 한국연구재단 | 과학기술정보통신부 | 2024.04.01 | 2029.03.28 | 60
3 | 진행중 | 녹색 융합기술 인재 양성 특성화 대학원 전문인력 양성사업 (포 | Graduate students resource develop |  | 한국환경산업기술원 | 환경부 | 2024.03.01 | 2025.11.30 | 21
4 | 진행중 | 생산수 계통의 오일제거 및 수처리 복합공정 설비기술 개발 | Development of oil sand process af | 공동7: 역삼투 조합 증발농축 공정 설계 및 운영지원 최적화  | 국토교통과학기술진흥원 | 국토교통부 | 2022.04.01 | 2025.12.31 | 45
5 | 종료 | 10만톤/년급 바이오디젤 생산플랜트 FEED를 위한 공정모사  | Process simulation for FEED of 100 |  | 한국에너지기술연구원 |  | 2024.11.21 | 2024.12.17 | 1
6 | 종료 | 탈탄소 달성 및 높은 지속 가능성을 갖춘 신개념 하이브리드 담 | Development of new hybrid desalina |  | 한양대학교 |  | 2024.03.01 | 2025.02.28 | 12
7 | 종료 | 연산2.5만톤급 수산화리튬 결정화기 국산화를 위한 공정수리 모 | Process model development for LiOH |  | 포스코이앤씨 |  | 2024.01.01 | 2024.11.30 | 11
8 | 종료 | CO2 to Olefin 모델링 최적화를 위한 공정 시뮬레이션 | Process model development, analysi |  | GS건설 |  | 2023.07.01 | 2023.11.30 | 5
9 | 종료 | 디지털 트윈 기반 고순도 공업용수 생산 공정의 운영기술 개발 | Development of operational technol |  | 한국환경산업기술원 | 환경부 | 2021.06.30 | 2024.12.31 | 43
10 | 종료 | 에너지 효율 및 회수율이 높은 신개념 batch RO 및 hy | Process development, feasibility s |  | 한국연구재단 | 과학기술정보통신부 | 2021.06.01 | 2024.02.28 | 33
